eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 10/09/2015 17:05:59
#Cmp ( ordine = Riferimento )
| P1         CONN_20                         ;             ;             
| P2         CONN_20                         ;             ;             
| R1         22K         ~                   ; ~           ; ~           
| R2         10K         ~                   ; ~           ; ~           
| R3         22K         ~                   ; ~           ; ~           
| R4         10K         ~                   ; ~           ; ~           
| R5         22K         ~                   ; ~           ; ~           
| R6         10K         ~                   ; ~           ; ~           
| R7         22K         ~                   ; ~           ; ~           
| R8         10K         ~                   ; ~           ; ~           
| R9         22K         ~                   ; ~           ; ~           
| R10        10K         ~                   ; ~           ; ~           
| R11        22K         ~                   ; ~           ; ~           
| R12        10K         ~                   ; ~           ; ~           
| R13        22K         ~                   ; ~           ; ~           
| R14        10K         ~                   ; ~           ; ~           
| R15        22K         ~                   ; ~           ; ~           
| R16        10K         ~                   ; ~           ; ~           
| R17        22K         ~                   ; ~           ; ~           
| R18        10K         ~                   ; ~           ; ~           
| R19        22K         ~                   ; ~           ; ~           
| R20        10K         ~                   ; ~           ; ~           
| R21        22K         ~                   ; ~           ; ~           
| R22        10K         ~                   ; ~           ; ~           
| R23        22K         ~                   ; ~           ; ~           
| R24        10K         ~                   ; ~           ; ~           
| R25        22K         ~                   ; ~           ; ~           
| R26        10K         ~                   ; ~           ; ~           
| R27        22K         ~                   ; ~           ; ~           
| R28        10K         ~                   ; ~           ; ~           
| R29        22K         ~                   ; ~           ; ~           
| R30        10K         ~                   ; ~           ; ~           
| R31        22K         ~                   ; ~           ; ~           
| R32        10K         ~                   ; ~           ; ~           
#End Cmp

#Cmp ( ordine = Valore )
| CONN_20      P1        ;             ;             
| CONN_20      P2        ;             ;             
| 10K          R2        ; ~           ; ~           
| 10K          R4        ; ~           ; ~           
| 10K          R6        ; ~           ; ~           
| 10K          R8        ; ~           ; ~           
| 10K          R10       ; ~           ; ~           
| 10K          R12       ; ~           ; ~           
| 10K          R14       ; ~           ; ~           
| 10K          R16       ; ~           ; ~           
| 10K          R18       ; ~           ; ~           
| 10K          R20       ; ~           ; ~           
| 10K          R22       ; ~           ; ~           
| 10K          R24       ; ~           ; ~           
| 10K          R26       ; ~           ; ~           
| 10K          R28       ; ~           ; ~           
| 10K          R30       ; ~           ; ~           
| 10K          R32       ; ~           ; ~           
| 22K          R1        ; ~           ; ~           
| 22K          R3        ; ~           ; ~           
| 22K          R5        ; ~           ; ~           
| 22K          R7        ; ~           ; ~           
| 22K          R9        ; ~           ; ~           
| 22K          R11       ; ~           ; ~           
| 22K          R13       ; ~           ; ~           
| 22K          R15       ; ~           ; ~           
| 22K          R17       ; ~           ; ~           
| 22K          R19       ; ~           ; ~           
| 22K          R21       ; ~           ; ~           
| 22K          R23       ; ~           ; ~           
| 22K          R25       ; ~           ; ~           
| 22K          R27       ; ~           ; ~           
| 22K          R29       ; ~           ; ~           
| 22K          R31       ; ~           ; ~           
#Fine Cmp

#Fine Lista
